dt,AverageTemperature,AverageTemperatureUncertainty,Country,years
1753-01-01,8.754000000000001,5.363,Tunisia,1753
1753-02-01,10.597,3.1830000000000003,Tunisia,1753
1753-03-01,16.105,2.805,Tunisia,1753
1753-04-01,18.181,5.2570000000000014,Tunisia,1753
1753-05-01,23.571,2.23,Tunisia,1753
1753-06-01,29.551,2.127,Tunisia,1753
1753-07-01,31.022,2.018,Tunisia,1753
1753-08-01,29.282,4.547,Tunisia,1753
1753-09-01,26.413,1.958,Tunisia,1753
1753-10-01,21.278,1.917,Tunisia,1753
1753-11-01,14.817,2.443,Tunisia,1753
1753-12-01,9.964,2.7060000000000004,Tunisia,1753
1754-01-01,8.841000000000003,3.1060000000000003,Tunisia,1754
1754-02-01,8.274000000000001,4.347,Tunisia,1754
1754-03-01,13.388,3.324,Tunisia,1754
1754-04-01,20.666,5.489,Tunisia,1754
1754-05-01,23.589,3.026,Tunisia,1754
1754-06-01,28.542,2.043,Tunisia,1754
1754-07-01,30.058000000000003,2.448,Tunisia,1754
1754-08-01,29.772,3.519,Tunisia,1754
1754-09-01,25.927,2.78,Tunisia,1754
1754-10-01,22.511000000000006,2.393,Tunisia,1754
1754-11-01,16.914,2.066,Tunisia,1754
1754-12-01,11.978,2.324,Tunisia,1754
1755-01-01,7.074,4.857,Tunisia,1755
1755-02-01,9.515,4.166,Tunisia,1755
1755-03-01,14.866,3.719,Tunisia,1755
1755-04-01,21.094,3.739,Tunisia,1755
1755-05-01,23.898000000000003,2.914,Tunisia,1755
1755-06-01,29.766,3.568,Tunisia,1755
1755-07-01,29.745,2.061,Tunisia,1755
1755-08-01,28.699,2.54,Tunisia,1755
1755-09-01,26.048,1.885,Tunisia,1755
1755-10-01,20.515,5.2360000000000015,Tunisia,1755
1755-11-01,15.606,4.8,Tunisia,1755
1755-12-01,10.349,5.935,Tunisia,1755
1756-01-01,11.171,3.039,Tunisia,1756
1756-02-01,14.686,3.202,Tunisia,1756
1756-03-01,15.225,5.174,Tunisia,1756
1756-04-01,19.667,2.281,Tunisia,1756
1756-05-01,24.847,3.828,Tunisia,1756
1756-06-01,28.714,2.887,Tunisia,1756
1756-07-01,29.396,2.302,Tunisia,1756
1756-08-01,28.982,5.971,Tunisia,1756
1756-09-01,27.17,2.506,Tunisia,1756
1756-10-01,19.561,2.248,Tunisia,1756
1756-11-01,13.628,2.959,Tunisia,1756
1756-12-01,9.702,2.353,Tunisia,1756
1757-01-01,7.282,2.462,Tunisia,1757
1757-02-01,12.659,3.3160000000000003,Tunisia,1757
1757-03-01,14.956,3.113,Tunisia,1757
1757-04-01,18.089,4.173,Tunisia,1757
1757-05-01,24.757,3.474,Tunisia,1757
1757-06-01,30.71,3.642,Tunisia,1757
1757-07-01,32.879,4.79,Tunisia,1757
1757-08-01,30.504,3.032,Tunisia,1757
1757-09-01,27.372,5.085,Tunisia,1757
1757-10-01,18.774,6.848,Tunisia,1757
1757-11-01,13.573,2.754,Tunisia,1757
1757-12-01,8.654,7.636,Tunisia,1757
1758-01-01,6.3210000000000015,2.392,Tunisia,1758
1758-02-01,11.002,2.6660000000000004,Tunisia,1758
1758-03-01,14.961,3.606,Tunisia,1758
1758-04-01,17.489,6.207999999999998,Tunisia,1758
1758-05-01,21.589,4.421,Tunisia,1758
1758-06-01,27.632,3.803,Tunisia,1758
1758-07-01,28.76,5.099,Tunisia,1758
1758-08-01,27.522,4.718,Tunisia,1758
1758-09-01,24.042,2.798,Tunisia,1758
1758-10-01,17.46,8.164,Tunisia,1758
1758-11-01,16.078,5.126,Tunisia,1758
1758-12-01,11.368,4.288,Tunisia,1758
1759-01-01,12.163,4.367,Tunisia,1759
1759-02-01,13.148,5.822,Tunisia,1759
1759-03-01,14.822,2.919,Tunisia,1759
1759-04-01,16.852,4.754,Tunisia,1759
1759-05-01,22.517,2.919,Tunisia,1759
1759-06-01,27.204,4.012,Tunisia,1759
1759-07-01,29.29,3.597,Tunisia,1759
1759-08-01,30.004,4.842,Tunisia,1759
1759-09-01,27.544,4.3210000000000015,Tunisia,1759
1759-10-01,21.606,3.615,Tunisia,1759
1759-11-01,13.495,4.442,Tunisia,1759
1759-12-01,8.876999999999997,4.834,Tunisia,1759
1760-01-01,8.797,3.528,Tunisia,1760
1760-02-01,11.149,2.155,Tunisia,1760
1760-03-01,12.819,6.43,Tunisia,1760
1760-04-01,19.301,4.728,Tunisia,1760
1760-05-01,22.171,3.377,Tunisia,1760
1760-06-01,25.794,2.692,Tunisia,1760
1760-07-01,29.099,3.0660000000000003,Tunisia,1760
1760-08-01,29.686,5.026,Tunisia,1760
1760-09-01,26.5,3.78,Tunisia,1760
1760-10-01,20.509,3.676,Tunisia,1760
1760-11-01,14.857,2.407,Tunisia,1760
1760-12-01,10.970999999999998,2.918,Tunisia,1760
1761-01-01,8.13,4.44,Tunisia,1761
1761-02-01,12.841,3.047,Tunisia,1761
1761-03-01,16.423000000000002,2.022,Tunisia,1761
1761-04-01,16.785999999999998,3.785,Tunisia,1761
1761-05-01,24.486,4.2010000000000005,Tunisia,1761
1761-06-01,29.421,2.359,Tunisia,1761
1761-07-01,33.811,4.694,Tunisia,1761
1761-08-01,29.98,2.506,Tunisia,1761
1761-09-01,26.809,3.037,Tunisia,1761
1761-10-01,20.886000000000006,3.465,Tunisia,1761
1761-11-01,13.985,2.4090000000000003,Tunisia,1761
1761-12-01,8.06,2.318,Tunisia,1761
1762-01-01,13.218,2.026,Tunisia,1762
1762-02-01,13.321,6.444,Tunisia,1762
1762-03-01,13.474,3.982,Tunisia,1762
1762-04-01,19.546,3.1260000000000003,Tunisia,1762
1762-05-01,22.768,5.079,Tunisia,1762
1762-06-01,27.75500000000001,4.747,Tunisia,1762
1762-07-01,31.318,2.657,Tunisia,1762
1762-08-01,29.155,2.699,Tunisia,1762
1762-09-01,25.69,5.95,Tunisia,1762
1762-10-01,19.617,3.239,Tunisia,1762
1762-11-01,15.651,2.274,Tunisia,1762
1762-12-01,9.51,4.913,Tunisia,1762
1763-01-01,9.157,5.141,Tunisia,1763
1763-02-01,12.487,3.794,Tunisia,1763
1763-03-01,13.099,5.5710000000000015,Tunisia,1763
1763-04-01,18.086,2.185,Tunisia,1763
1763-05-01,21.527,2.697,Tunisia,1763
1763-06-01,26.367,4.5,Tunisia,1763
1763-07-01,31.16,2.463,Tunisia,1763
1763-08-01,30.093000000000004,2.8710000000000004,Tunisia,1763
1763-09-01,25.56,2.461,Tunisia,1763
1763-10-01,18.457,4.865,Tunisia,1763
1763-11-01,14.578,3.102,Tunisia,1763
1763-12-01,11.843,2.236,Tunisia,1763
1764-01-01,10.623,4.117,Tunisia,1764
1764-02-01,14.897,2.655,Tunisia,1764
1764-03-01,14.821,3.1710000000000003,Tunisia,1764
1764-04-01,17.308,3.759,Tunisia,1764
1764-05-01,23.113000000000003,5.8210000000000015,Tunisia,1764
1764-06-01,27.108,2.882,Tunisia,1764
1764-07-01,28.014,4.2410000000000005,Tunisia,1764
1764-08-01,28.059,2.152,Tunisia,1764
1764-09-01,25.71,4.178,Tunisia,1764
1764-10-01,21.284,2.84,Tunisia,1764
1764-11-01,16.249000000000002,2.944,Tunisia,1764
1764-12-01,14.39,3.319,Tunisia,1764
1765-01-01,13.265,7.822999999999999,Tunisia,1765
1765-02-01,12.397,3.4160000000000004,Tunisia,1765
1765-03-01,16.381,2.732,Tunisia,1765
1765-04-01,18.914,2.117,Tunisia,1765
